iter	Logloss
0	0.6924319282
1	0.6917792669
2	0.6911656825
3	0.6905823899
4	0.6899938031
5	0.6894271036
6	0.6889081041
7	0.6884077436
8	0.6879163759
9	0.6874319705
10	0.6869824454
11	0.68630199
12	0.685800909
13	0.6853929153
14	0.68488784
15	0.6844335434
16	0.6840627053
17	0.6836565283
18	0.6832448521
19	0.682805633
20	0.6823898811
21	0.6817973163
22	0.6814202901
23	0.6810784436
24	0.680489718
25	0.6798292258
26	0.6793242553
27	0.6788702422
28	0.6783982808
29	0.6779871853
30	0.6773762601
31	0.6770441191
32	0.676744965
33	0.6764044721
34	0.6761264065
35	0.6757794271
36	0.6753858288
37	0.6749827075
38	0.6745014372
39	0.6741197048
40	0.6737582389
41	0.6734800947
42	0.6731224772
43	0.6727553103
44	0.6724054316
45	0.6720528559
46	0.6717034247
47	0.6713158202
48	0.6710285023
49	0.6706134356
50	0.6702783474
51	0.6699594595
52	0.6695400623
53	0.6690898932
54	0.6684598914
55	0.6679771026
56	0.6676633629
57	0.667408633
58	0.6670915057
59	0.6667650498
60	0.6664405545
61	0.6657784702
62	0.6651546596
63	0.6647614334
64	0.6644441603
65	0.6640723088
66	0.663662287
67	0.6633689795
68	0.6629634828
69	0.6625994389
70	0.6623757295
71	0.6621350264
72	0.6618586622
73	0.6615041671
74	0.661108267
75	0.6608106402
76	0.6604836114
77	0.6600816633
78	0.6596964034
79	0.6594807719
80	0.6591524751
81	0.6586007281
82	0.658326142
83	0.6579501023
84	0.6576387958
85	0.6573365331
86	0.6570714585
87	0.6567752582
88	0.6565951807
89	0.656303929
90	0.6559948298
91	0.6557362029
92	0.6554453787
93	0.6552410004
94	0.6548824128
95	0.6545843494
96	0.6543794474
97	0.6541313016
98	0.6539080215
99	0.6536420197
100	0.6534603032
101	0.6532883333
102	0.6530516076
103	0.6527874252
104	0.6526001777
105	0.6523602054
106	0.6520939035
107	0.6514984776
108	0.6512643526
109	0.650991157
110	0.6507353465
111	0.6504908699
112	0.6502508643
113	0.6499235158
114	0.6496040507
115	0.6493246329
116	0.649034149
117	0.6487088084
118	0.6484401993
119	0.64819993
120	0.6476522008
121	0.6474541197
122	0.6470622032
123	0.6468436685
124	0.6464287802
125	0.6461695849
126	0.6459535066
127	0.6455970853
128	0.6453934295
129	0.6451363236
130	0.6449525329
131	0.6447337058
132	0.644453297
133	0.6442317561
134	0.6440236964
135	0.6436953154
136	0.6433827939
137	0.6430787497
138	0.6427970938
139	0.6425620862
140	0.6422960743
141	0.642021888
142	0.6417273585
143	0.6414247787
144	0.6410240496
145	0.6408552809
146	0.6404916438
147	0.6402312055
148	0.6399047493
149	0.6396155871
150	0.6394170456
151	0.6391964536
152	0.6389031904
153	0.6386062517
154	0.6383903214
155	0.6380936562
156	0.6379473121
157	0.6375889511
158	0.6373260018
159	0.6370554304
160	0.6368648469
161	0.6367106325
162	0.6364738919
163	0.6362040693
164	0.6359564559
165	0.6357149768
166	0.6354716634
167	0.6351757122
168	0.6348890876
169	0.6345054539
170	0.6343216644
171	0.6340673503
172	0.6338184394
173	0.6336335779
174	0.6334692889
175	0.6331917037
176	0.63297147
177	0.6327307498
178	0.6324786044
179	0.6323136201
180	0.6321017744
181	0.6318205512
182	0.6316039775
183	0.6313683657
184	0.6311383255
185	0.6309193785
186	0.6307497724
187	0.6305571742
188	0.6302750747
189	0.6300589684
190	0.6299209025
191	0.6296365624
192	0.629406019
193	0.6291754049
194	0.6290053583
195	0.6288474408
196	0.628732295
197	0.6285375944
198	0.6283352469
199	0.6281221413
200	0.6278787784
201	0.6276339296
202	0.6274049674
203	0.627067708
204	0.6269618798
205	0.62676236
206	0.626569237
207	0.6263888828
208	0.626135318
209	0.6259266263
210	0.6257072843
211	0.6254740217
212	0.625221503
213	0.6249467078
214	0.6247327123
215	0.6244492219
216	0.6242999196
217	0.624076011
218	0.6238638998
219	0.6237071792
220	0.6235127857
221	0.6233505463
222	0.6232266128
223	0.6230172707
224	0.6228165181
225	0.6226437349
226	0.6223811826
227	0.6222538537
228	0.622081463
229	0.6219639386
230	0.6217985187
231	0.6215617183
232	0.6212905891
233	0.6211175759
234	0.6209328782
235	0.6207687131
236	0.6205402481
237	0.620280677
238	0.6200929984
239	0.6199478753
240	0.6196310683
241	0.6193702926
242	0.6192305348
243	0.6190692707
244	0.6189137733
245	0.6186818787
246	0.6184533558
247	0.6182850373
248	0.6181035652
249	0.6178479283
250	0.617639132
251	0.6173676799
252	0.6171684137
253	0.6170027681
254	0.616778193
255	0.6166009011
256	0.6164235831
257	0.6162470255
258	0.6160331472
259	0.6158057716
260	0.615677075
261	0.6155518274
262	0.615411059
263	0.6153286245
264	0.6150854855
265	0.6149112521
266	0.6147394874
267	0.6145886369
268	0.6144046431
269	0.6142677076
270	0.6141330784
271	0.6139379533
272	0.6137987817
273	0.6135971254
274	0.6134216932
275	0.6132263747
276	0.6130398651
277	0.6128350502
278	0.6126522626
279	0.6124555591
280	0.6123145787
281	0.6121633033
282	0.6120290624
283	0.6118534216
284	0.6116633706
285	0.6115289252
286	0.6113879062
287	0.6112778284
288	0.6111363164
289	0.6109372475
290	0.6106782512
291	0.6104107344
292	0.6102296706
293	0.6100138701
294	0.6098598373
295	0.6096913101
296	0.6095322332
297	0.6093552146
298	0.6091151962
299	0.6089848344
300	0.608717
301	0.6085345118
302	0.60830918
303	0.6081569127
304	0.6079849795
305	0.6078229741
306	0.6077073569
307	0.6075509998
308	0.6074259559
309	0.6072368249
310	0.6071271625
311	0.6069616094
312	0.6067294171
313	0.606568029
314	0.6064334707
315	0.6063284604
316	0.6061460237
317	0.6059475245
318	0.6056644472
319	0.6054609993
320	0.6051904474
321	0.6050091604
322	0.6048378989
323	0.6047058624
324	0.6045136178
325	0.6043282086
326	0.6041748467
327	0.60399856
328	0.6038384284
329	0.6036700402
330	0.6035477408
331	0.6034506681
332	0.6033462207
333	0.6031339507
334	0.6029357401
335	0.6028117962
336	0.6025636281
337	0.602482054
338	0.6022271349
339	0.602073212
340	0.6018639531
341	0.6016684718
342	0.6015164233
343	0.6013323049
344	0.6011576179
345	0.6010116389
346	0.6008844222
347	0.6007896638
348	0.6006431287
349	0.6004682579
350	0.6003322715
351	0.6001926877
352	0.6000444722
353	0.5998167156
354	0.5996830657
355	0.5995235901
356	0.59941147
357	0.5993015951
358	0.5991630593
359	0.5989433015
360	0.5987980141
361	0.5986729006
362	0.5985539073
363	0.5982867933
364	0.5980963047
365	0.5979432768
366	0.5978340896
367	0.5977478285
368	0.5975198155
369	0.5972888551
370	0.5970485044
371	0.5969003524
372	0.5966563079
373	0.5965213478
374	0.5964081217
375	0.5962324674
376	0.5960201072
377	0.5958269401
378	0.5955533821
379	0.5954010845
380	0.5951874986
381	0.5951081013
382	0.5949609249
383	0.5947840988
384	0.59450645
385	0.5943919743
386	0.5942816504
387	0.5940840066
388	0.5939670819
389	0.5938367019
390	0.5936354375
391	0.5934928698
392	0.5933813781
393	0.5933122504
394	0.5932003739
395	0.5930039705
396	0.5928673443
397	0.5927365814
398	0.5925743178
399	0.5923482856
400	0.5921689808
401	0.5919727313
402	0.5918188834
403	0.5916032636
404	0.5914974697
405	0.5912669449
406	0.5911540134
407	0.5910095271
408	0.5907887984
409	0.5906083487
410	0.5904308084
411	0.5902933208
412	0.5901636614
413	0.5899408572
414	0.5898159457
415	0.5897128147
416	0.5894406536
417	0.5893113656
418	0.5890947902
419	0.5888913989
420	0.5886936705
421	0.5885902953
422	0.5884097319
423	0.5882043298
424	0.5880904282
425	0.5879295159
426	0.5877763031
427	0.5876184124
428	0.5874563964
429	0.5873365954
430	0.5871309735
431	0.5869271058
432	0.5867590875
433	0.5865554083
434	0.5862656397
435	0.5860650917
436	0.5858648304
437	0.5857590738
438	0.5856254217
439	0.5854572314
440	0.5853328773
441	0.5852238173
442	0.5850985039
443	0.5848879856
444	0.5847182846
445	0.5845198306
446	0.5843747238
447	0.5842346731
448	0.584105933
449	0.5839474804
450	0.5837671465
451	0.5835899332
452	0.5833931863
453	0.5832535031
454	0.5830505407
455	0.5829645725
456	0.5828827767
457	0.5826959893
458	0.5825660233
459	0.5823998479
460	0.5822596072
461	0.5821333397
462	0.5819795795
463	0.5818459563
464	0.5817087138
465	0.5815250247
466	0.5813366391
467	0.5812629641
468	0.5810743378
469	0.5809757607
470	0.5808031715
471	0.5806675574
472	0.5805927649
473	0.5804824506
474	0.5803343653
475	0.5801651455
476	0.5800362894
477	0.5799163078
478	0.5797329558
479	0.579613215
480	0.579457014
481	0.5793168946
482	0.5791301367
483	0.579000791
484	0.5788263078
485	0.578706207
486	0.578547586
487	0.5783646275
488	0.5782405662
489	0.5780665918
490	0.5779103146
491	0.5777825527
492	0.5776632747
493	0.5775258331
494	0.5774566528
495	0.5773708405
496	0.5772155027
497	0.5769803794
498	0.5768007421
499	0.5766178599
500	0.5764468138
501	0.5763232525
502	0.5761428826
503	0.5759871299
504	0.5758764082
505	0.5757012278
506	0.5755324625
507	0.5753869955
508	0.5752058159
509	0.5751053273
510	0.5749811187
511	0.5749011423
512	0.5747090592
513	0.5745615657
514	0.5743883684
515	0.5742468857
516	0.5741063439
517	0.5739387703
518	0.5737847106
519	0.5737023154
520	0.5736002365
521	0.5734731008
522	0.5733993893
523	0.5732471411
524	0.5730689797
525	0.5729275786
526	0.5728470932
527	0.572609548
528	0.5724692698
529	0.5723434259
530	0.5722246414
531	0.5719844814
532	0.5717384339
533	0.5715577838
534	0.5714155021
535	0.5712963259
536	0.5712024892
537	0.57107598
538	0.570976726
539	0.5709144309
540	0.5708227264
541	0.5707091455
542	0.5705599278
543	0.5704368083
544	0.5703681886
545	0.5702336306
546	0.5701102162
547	0.5699907381
548	0.5698577343
549	0.5697467405
550	0.5696525735
551	0.5694471555
552	0.5693365837
553	0.5692402892
554	0.5690943915
555	0.5690029473
556	0.5688635383
557	0.5686948149
558	0.5685267752
559	0.568349061
560	0.5681531747
561	0.5680075868
562	0.5678640386
563	0.5677066005
564	0.5674890686
565	0.5672729172
566	0.5671666846
567	0.5669598163
568	0.5668286256
569	0.566659126
570	0.5665435651
571	0.5663598519
572	0.5662364551
573	0.5661407523
574	0.5659871467
575	0.5658407975
576	0.5656112018
577	0.5654529046
578	0.5652501267
579	0.5650948097
580	0.5649617511
581	0.5647889827
582	0.564622011
583	0.5644533856
584	0.5642987089
585	0.5641881244
586	0.5640344878
587	0.5638819529
588	0.5637485171
589	0.5635582861
590	0.5633395095
591	0.5632289934
592	0.5631408309
593	0.5629785135
594	0.5628221868
595	0.5626844082
596	0.5625129416
597	0.5624053651
598	0.562269373
599	0.5621676536
600	0.5619726609
601	0.561853262
602	0.561730521
603	0.5615852437
604	0.5614669717
605	0.5613127039
606	0.5611839061
607	0.5611006795
608	0.5609864635
609	0.5608626872
610	0.5607155686
611	0.5605830216
612	0.5604570971
613	0.5603357913
614	0.5602022566
615	0.5601069207
616	0.560017996
617	0.5598591286
618	0.5597747752
619	0.559683227
620	0.5595883686
621	0.5594708122
622	0.559342112
623	0.5592203676
624	0.5591367369
625	0.5590002199
626	0.5588595116
627	0.5587526699
628	0.5585760161
629	0.5584386029
630	0.5582971038
631	0.5581830183
632	0.5580760313
633	0.5579629864
634	0.557832952
635	0.5577037768
636	0.5575454306
637	0.5574802955
638	0.5573321931
639	0.5571932689
640	0.5570998998
641	0.5569686809
642	0.5568486784
643	0.5567478909
644	0.5565568095
645	0.5563730828
646	0.5562288406
647	0.556143043
648	0.5559903828
649	0.555859724
650	0.5557078752
651	0.5555351453
652	0.5554001466
653	0.5551841707
654	0.5550782372
655	0.5549581461
656	0.5548450726
657	0.5547177993
658	0.5545666289
659	0.5544587762
660	0.5543646211
661	0.5542337709
662	0.5541169545
663	0.5539621273
664	0.5538080308
665	0.553728603
666	0.5536202014
667	0.5534747457
668	0.5533665009
669	0.5532168608
670	0.5531100355
671	0.5530334871
672	0.552939563
673	0.5527789153
674	0.552659459
675	0.5525429664
676	0.5524589522
677	0.5522906554
678	0.5521486457
679	0.5519986119
680	0.5519007896
681	0.5517138464
682	0.5515729422
683	0.551417835
684	0.5512612154
685	0.5510992517
686	0.5509847494
687	0.5508447876
688	0.5507472598
689	0.5506549432
690	0.5505588708
