iter	Passed	Remaining
0	5	5903
1	10	5200
2	15	4997
3	19	4915
4	24	4831
5	28	4801
6	33	4725
7	37	4675
8	41	4603
9	46	4594
10	50	4539
11	54	4492
12	59	4484
13	64	4514
14	68	4491
15	72	4475
16	77	4473
17	81	4466
18	86	4455
19	90	4438
20	95	4445
21	99	4428
22	104	4433
23	109	4435
24	113	4426
25	117	4411
26	121	4382
27	126	4390
28	130	4373
29	135	4372
30	139	4372
31	144	4359
32	148	4346
33	152	4338
34	157	4328
35	161	4322
36	165	4319
37	170	4312
38	175	4313
39	180	4323
40	184	4324
41	189	4332
42	195	4346
43	200	4345
44	204	4337
45	209	4338
46	213	4335
47	218	4328
48	223	4338
49	228	4334
50	233	4339
51	237	4331
52	242	4333
53	247	4331
54	251	4327
55	257	4332
56	262	4341
57	267	4339
58	272	4343
59	277	4345
60	282	4346
61	287	4342
62	292	4346
63	296	4342
64	301	4339
65	306	4337
66	312	4347
67	316	4341
68	321	4332
69	325	4329
70	330	4322
71	334	4313
72	338	4302
73	343	4293
74	347	4286
75	351	4275
76	356	4271
77	360	4263
78	364	4255
79	369	4250
80	374	4252
81	379	4247
82	384	4243
83	389	4244
84	394	4241
85	398	4233
86	402	4223
87	407	4222
88	411	4214
89	416	4208
90	420	4199
91	425	4200
92	430	4198
93	435	4201
94	441	4204
95	446	4206
96	451	4201
97	456	4202
98	461	4201
99	466	4202
100	472	4205
101	477	4206
102	482	4201
103	488	4204
104	493	4204
105	498	4203
106	503	4206
107	509	4208
108	514	4206
109	519	4203
110	524	4199
111	529	4195
112	534	4194
113	539	4190
114	544	4189
115	548	4182
116	553	4178
117	558	4173
118	563	4168
119	568	4168
120	573	4163
121	577	4157
122	582	4151
123	587	4147
124	591	4139
125	596	4135
126	601	4132
127	605	4124
128	609	4117
129	614	4111
130	618	4103
131	623	4097
132	627	4092
133	632	4087
134	637	4082
135	641	4077
136	646	4072
137	650	4065
138	655	4059
139	659	4051
140	664	4046
141	668	4039
142	673	4033
143	677	4026
144	681	4020
145	686	4013
146	690	4006
147	694	3998
148	699	3995
149	704	3992
150	709	3987
151	713	3980
152	718	3976
153	722	3971
154	727	3964
155	731	3956
156	735	3950
157	739	3943
158	744	3935
159	748	3929
160	753	3925
161	757	3918
162	761	3912
163	766	3908
164	771	3902
165	775	3896
166	780	3894
167	785	3888
168	789	3882
169	794	3879
170	799	3873
171	803	3867
172	807	3861
173	812	3858
174	817	3852
175	821	3844
176	825	3840
177	830	3836
178	835	3831
179	840	3828
180	845	3826
181	852	3832
182	858	3834
183	865	3836
184	870	3835
185	877	3838
186	882	3837
187	888	3835
188	894	3839
189	900	3839
190	907	3843
191	912	3842
192	918	3841
193	924	3841
194	929	3838
195	934	3834
196	941	3835
197	946	3833
198	951	3831
199	957	3831
