open,high,low,close,volume,trades,timestamp,ret_1,ret_5,ret_15,ret_30,ret_60,ret_90,vol_15,vol_30,vol_60,vol_90,vol_240,range_hl,range_co,vol_z_15,vol_z_30,vol_z_60,vol_z_90,vol_z_240,ret_skew_20,ret_kurt_20,ret_skew_60,ret_kurt_60,avg_trade_size,tickiness,trades_z_15,trades_cv_15,avg_trade_size_z_15,avg_trade_size_cv_15,trades_z_30,trades_cv_30,avg_trade_size_z_30,avg_trade_size_cv_30,trades_z_60,trades_cv_60,avg_trade_size_z_60,avg_trade_size_cv_60,trades_z_90,trades_cv_90,avg_trade_size_z_90,avg_trade_size_cv_90,trades_z_240,trades_cv_240,avg_trade_size_z_240,avg_trade_size_cv_240,fdiff_0.20,close_ema_3,close_ema_5,close_ema_15,sigma,y,t_end,ev_ret,ev_ret_short,ev_bps,w,t_end_60_1.0,ev_ret_60,ev_ret_short_60,ev_bps_60,t_end_90_1.0,ev_ret_90,ev_ret_short_90,ev_bps_90
40.23,40.34,40.15,40.26,243.32709878,28,2021-06-17 15:30:00+00:00,,,,,,,,,,,,,0.0007457121551081566,,,,,,,,,,8.690253527857143,0.11507144144810487,,,,,,,,,,,,,,,,,,,,,,40.26,40.26,40.26,,0,0,0.0,-0.0,0.0,0.0,0,0.0,-0.0,0.0,0,0.0,-0.0,0.0
40.34,40.57,40.33,40.49,747.25329417,28,2021-06-17 15:45:00+00:00,0.005696609832424482,,,,,,,,,,,0.005961251862891257,0.0037183936539414617,,,,,,,,,,26.687617648928573,0.03747056081044188,,,,,,,,,,,,,,,,,,,,,,40.375,40.33666666666667,40.28875,,0,1,0.0,-0.0,0.0,0.0,1,0.0,-0.0,0.0,1,0.0,-0.0,0.0
40.15,40.15,39.94,40.04,73.69030315,10,2021-06-17 16:00:00+00:00,-0.011176075597049806,,,,,,,,,,,0.005186465794023236,-0.0027397260273972464,,,,,,,,,,7.369030315000001,0.13570306502396304,,,,,,,,,,,,,,,,,,,,,,40.207499999999996,40.23777777777779,40.257656250000004,,0,2,0.0,-0.0,0.0,0.0,2,0.0,-0.0,0.0,2,0.0,-0.0,0.0
39.94,39.94,39.65,39.65,19.51376749,10,2021-06-17 16:15:00+00:00,-0.00978800636616306,,,,,,,,,,,0.007242757242757221,-0.007260891337005487,,,,,,,,,,1.951376749,0.512458704098252,,,,,,,,,,,,,,,,,,,,,,39.928749999999994,40.04185185185186,40.18169921875,,0,3,0.0,-0.0,0.0,0.0,3,0.0,-0.0,0.0,3,0.0,-0.0,0.0
39.68,39.88,39.68,39.88,83.98965199,10,2021-06-17 16:30:00+00:00,0.005783997012780873,,,,,,,,,,,0.005044136191677247,0.005040322580645233,,,,,,,,,,8.398965199,0.11906228640155127,,,,,,,,,,,,,,,,,,,,,,39.904375,39.987901234567914,40.14398681640625,,0,4,0.0,-0.0,0.0,0.0,4,0.0,-0.0,0.0,4,0.0,-0.0,0.0
39.7,39.7,39.5,39.51,81.41997,5,2021-06-17 16:45:00+00:00,-0.009321140670338401,-0.018804615788345913,,,,,,,,,,0.00501504513540629,-0.00478589420654924,,,,,,,,,,16.283994,0.06140999560672891,,,,,,,,,,,,,,,,,,,,,,39.7071875,39.82860082304528,40.064738464355464,,0,5,0.0,-0.0,0.0,0.0,5,0.0,-0.0,0.0,5,0.0,-0.0,0.0
39.45,39.46,39.17,39.17,76.02040104,7,2021-06-17 17:00:00+00:00,-0.008642656745559307,-0.0331438823663297,,,,,,,,,,0.007339913945836476,-0.007097591888466441,,,,,,,,,,10.860057291428571,0.0920805455408842,,,,,,,,,,,,,,,,,,,,,,39.43859375,39.609067215363524,39.952896156311034,,0,6,0.0,-0.0,0.0,0.0,6,0.0,-0.0,0.0,6,0.0,-0.0,0.0
39.14,39.16,38.3,38.3,2630.70658809,76,2021-06-17 17:15:00+00:00,-0.022461251491139755,-0.04442905826041965,,,,,,,,,,0.021955578248659673,-0.021461420541645463,,,,,,,,,,34.614560369605265,0.028889576794339157,,,,,,,,,,,,,,,,,,,,,,38.869296875,39.172711476909015,39.746284136772154,,0,7,0.0,-0.0,0.0,0.0,7,0.0,-0.0,0.0,7,0.0,-0.0,0.0
38.46,38.91,38.46,38.91,147.85395836,6,2021-06-17 17:30:00+00:00,0.01580139080986198,-0.01883966108439461,,,,,,,,,,0.011749347258485528,0.011700468018720638,,,,,,,,,,24.642326393333335,0.04058058415582618,,,,,,,,,,,,,,,,,,,,,,38.8896484375,39.085140984606014,39.64174861967564,,0,8,0.0,-0.0,0.0,0.0,8,0.0,-0.0,0.0,8,0.0,-0.0,0.0
38.54,38.73,38.42,38.42,52.156729999999996,5,2021-06-17 17:45:00+00:00,-0.012673129656051607,-0.03729678775322709,,,,,,,,,,0.007967103572346318,-0.003113648157758107,,,,,,,,,,10.431346,0.09586490564113204,,,,,,,,,,,,,,,,,,,,,,38.65482421875,38.86342732307068,39.489030042216186,,0,9,0.0,-0.0,0.0,0.0,9,0.0,-0.0,0.0,9,0.0,-0.0,0.0
38.54,38.67,38.54,38.64,49.0,4,2021-06-17 18:00:00+00:00,0.0057098520039065015,-0.022265795078982187,,,,,,,,,,0.0033836543466944963,0.002594706798131848,,,,,,,,,,12.25,0.08163265306122448,,,,,,,,,,,,,,,,,,,,,,38.647412109375,38.78895154871379,39.38290128693916,,0,10,0.0,-0.0,0.0,0.0,10,0.0,-0.0,0.0,10,0.0,-0.0,0.0
38.64,38.64,38.64,38.64,0.0,0,2021-06-17 18:15:00+00:00,0.0,-0.01362313833342288,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6437060546875,38.739301032475865,39.29003862607176,,0,11,0.0,-0.0,0.0,0.0,11,0.0,-0.0,0.0,11,0.0,-0.0,0.0
38.6,38.6,38.6,38.6,16.0,1,2021-06-17 18:30:00+00:00,-0.0010357328735319804,0.0078023802841848955,,,,,,,,,,0.0,0.0,,,,,,,,,,16.0,0.0625,,,,,,,,,,,,,,,,,,,,,,38.62185302734375,38.69286735498392,39.2037837978128,,0,12,0.0,-0.0,0.0,0.0,12,0.0,-0.0,0.0,12,0.0,-0.0,0.0
38.95,39.08,38.95,39.08,122.9002,5,2021-06-17 18:45:00+00:00,0.012358550703796656,0.00435954017811957,,,,,,,,,,0.003367875647668276,0.003337612323491539,,,,,,,,,,24.58004,0.04068341630038031,,,,,,,,,,,,,,,,,,,,,,38.85092651367187,38.82191156998928,39.1883108230862,,0,13,0.0,-0.0,0.0,0.0,13,0.0,-0.0,0.0,13,0.0,-0.0,0.0
38.95,39.09,38.91,39.09,278.05809641,8,2021-06-17 19:00:00+00:00,0.00025585263028160554,0.017288522464452782,,,,,,,,,,0.004605936540430062,0.0035943517329910285,-0.04496908284018841,,,,,,,,,34.75726205125,0.028770965863924722,-0.2888451446254228,1.4155231710891811,,,,,,,,,,,,,,,,,,,,38.97046325683594,38.91127437999286,39.17602197020042,,0,14,0.0,-0.0,0.0,0.0,14,0.0,-0.0,0.0,14,0.0,-0.0,0.0
39.06,39.08,38.95,39.07,229.98226031,9,2021-06-17 19:15:00+00:00,-0.0005117707378841096,0.011066899722662171,-0.03000351114466593,,,,0.010315443125372218,,,,,0.0033256587362495635,0.00025601638504859216,-0.11552248828153683,,,,,,,,,25.553584478888887,0.03913345311011654,-0.17416811871059124,1.5290074314266158,,,,,,,,,,,,,,,,,,,,39.020231628417974,38.96418291999524,39.16276922392537,,0,15,0.0,-0.0,0.0,0.0,15,0.0,-0.0,0.0,15,0.0,-0.0,0.0
38.96,39.42,38.96,39.4,412.709881,5,2021-06-17 19:30:00+00:00,0.008410907236908738,0.01947780695957091,-0.027289213740181673,,,,0.010482558414590077,,,,,0.011773739442027153,0.01129363449691986,0.19403760214918636,,,,,,,,,82.5419762,0.01211504795544258,-0.3130808434340101,1.7061455591607224,,,,,,,,,,,,,,,,,,,,39.21011581420899,39.10945527999682,39.1924230709347,,0,16,0.0,-0.0,0.0,0.0,16,0.0,-0.0,0.0,16,0.0,-0.0,0.0
39.39,39.39,39.39,39.39,3.773229,1,2021-06-17 19:45:00+00:00,-0.00025383932107336804,0.02025970051202952,-0.016366977464205235,,,,0.010160583564325419,,,,,0.0,0.0,-0.41870922026269536,,,,,,,,,3.773229,0.2650249958324819,-0.4940943012344566,1.8241776665341336,,,,,,,,,,,,,,,,,,,,39.300057907104495,39.20297018666455,39.21712018706786,,0,17,0.0,-0.0,0.0,0.0,17,0.0,-0.0,0.0,17,0.0,-0.0,0.0
38.86,39.59,38.77,39.59,36.69395711,9,2021-06-17 20:00:00+00:00,0.005064584135224592,0.012965733943457458,-0.0015143869628175821,,,,0.009974521112320276,,,,,0.020817466362020823,0.018785383427689244,-0.3708548535145161,,,,,,,,,4.077106345555555,0.24527199323365645,-0.05769720771831066,1.8364886116843209,,,,,,,,,,,,,,,,,,,,39.44502895355225,39.331980124443035,39.263730163684386,,0,18,0.0,-0.0,0.0,0.0,18,0.0,-0.0,0.0,18,0.0,-0.0,0.0
39.49,39.49,39.44,39.44,1.4008,3,2021-06-17 20:15:00+00:00,-0.0037960313836045145,0.008913849929571338,-0.01109441535920297,,,,0.009877020180643995,,,,,0.0012629451881789407,-0.0012661433274247724,-0.4146710179714757,,,,,,,,,0.46693333333333337,2.141633352370074,-0.35527321580584825,1.9351303994042401,,,,,,,,,,,,,,,,,,,,39.442514476776125,39.36798674962869,39.28576389322384,,0,19,0.0,-0.0,0.0,0.0,19,0.0,-0.0,0.0,19,0.0,-0.0,0.0
39.27,39.27,39.27,39.27,4.0,1,2021-06-17 20:30:00+00:00,-0.004319661144516207,0.005105959522939241,-0.006092935833380775,,,,0.009648404784621173,,,,,0.0,0.0,-0.40178057012595436,,,,,-0.2877907635749342,0.09096313199476079,,,4.0,0.25,-0.44619488439222704,2.001047466228407,,,,,,,,,,,,,,,,,,,,39.35625723838807,39.33532449975246,39.28379340657086,,0,20,0.0,-0.0,0.0,0.0,20,0.0,-0.0,0.0,20,0.0,-0.0,0.0
39.22,39.22,39.22,39.22,10.0,1,2021-06-17 20:45:00+00:00,-0.0012740478217181384,-0.0045789955356876355,0.0012756730904603941,,,,0.009383032275932996,,,,,0.0,0.0,-0.38518569998404717,,,,,-0.20018224736126555,0.251395158821647,,,10.0,0.1,-0.4221234701905454,2.1037913411724523,,,,,,,,,,,,,,,,,,,,39.28812861919403,39.29688299983498,39.275819230749505,,0,21,0.0,-0.0,0.0,0.0,21,0.0,-0.0,0.0,21,0.0,-0.0,0.0
39.26,39.26,39.26,39.26,1.97922,1,2021-06-17 21:00:00+00:00,0.0010193680801147131,-0.0033057881344995543,0.024756292661714863,,,,0.00701202864187888,,,,,0.0,0.0,-0.7111475048758596,,,,,-0.37318299374480474,0.7223868494291591,,,1.97922,0.5052495427491638,-0.9448564034753588,0.7892868261477107,,,,,,,,,,,,,,,,,,,,39.274064309597016,39.28458866655666,39.273841826905816,,0,22,0.0,-0.0,0.0,0.0,22,0.0,-0.0,0.0,22,0.0,-0.0,0.0
