ts,price,action,delta_units,pos_units,score,ev_bps,latency_ms,killswitch
2021-06-17 15:32:00+00:00,40.23,HOLD,0.0,0.0,0.0,0.0,27,False
2021-06-17 15:33:00+00:00,40.23,HOLD,0.0,0.0,0.0,0.0,23,False
2021-06-17 15:35:00+00:00,40.24,HOLD,0.0,0.0,0.0,0.0,22,False
2021-06-17 15:36:00+00:00,40.24,HOLD,0.0,0.0,0.0,0.0,22,False
2021-06-17 15:37:00+00:00,40.15,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 15:38:00+00:00,40.29,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 15:39:00+00:00,40.26,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:40:00+00:00,40.31,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:41:00+00:00,40.26,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:42:00+00:00,40.33,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:43:00+00:00,40.33,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 15:44:00+00:00,40.26,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 15:46:00+00:00,40.36,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:47:00+00:00,40.34,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:48:00+00:00,40.52,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:49:00+00:00,40.55,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 15:50:00+00:00,40.48,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 15:51:00+00:00,40.49,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:52:00+00:00,40.4,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 15:53:00+00:00,40.33,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 15:55:00+00:00,40.52,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 15:56:00+00:00,40.49,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 15:57:00+00:00,40.49,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:01:00+00:00,40.1,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:02:00+00:00,39.94,HOLD,0.0,0.0,0.0,0.0,18,False
2021-06-17 16:04:00+00:00,40.05,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:06:00+00:00,40.0,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:14:00+00:00,40.04,HOLD,0.0,0.0,0.0,0.0,22,False
2021-06-17 16:16:00+00:00,39.9,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 16:20:00+00:00,39.78,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:21:00+00:00,39.65,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:32:00+00:00,39.71,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:35:00+00:00,39.71,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 16:41:00+00:00,39.86,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:42:00+00:00,39.82,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 16:43:00+00:00,39.88,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 16:45:00+00:00,39.7,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 16:46:00+00:00,39.7,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 16:47:00+00:00,39.7,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 16:56:00+00:00,39.51,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:02:00+00:00,39.45,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 17:04:00+00:00,39.45,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 17:09:00+00:00,39.46,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:11:00+00:00,39.26,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:13:00+00:00,39.17,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 17:16:00+00:00,39.16,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 17:17:00+00:00,39.16,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:19:00+00:00,39.0,HOLD,0.0,0.0,0.0,0.0,25,False
2021-06-17 17:20:00+00:00,38.87,HOLD,0.0,0.0,0.0,0.0,22,False
2021-06-17 17:21:00+00:00,38.49,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:23:00+00:00,38.54,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:25:00+00:00,38.48,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:27:00+00:00,38.3,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 17:33:00+00:00,38.46,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 17:34:00+00:00,38.66,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 17:35:00+00:00,38.91,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 17:45:00+00:00,38.54,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 17:50:00+00:00,38.73,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 17:51:00+00:00,38.44,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 17:58:00+00:00,38.42,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 18:09:00+00:00,38.57,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 18:13:00+00:00,38.67,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 18:14:00+00:00,38.64,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 18:31:00+00:00,38.6,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 18:45:00+00:00,38.95,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 18:57:00+00:00,39.08,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:00:00+00:00,38.91,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:03:00+00:00,39.0,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 19:05:00+00:00,38.99,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:11:00+00:00,39.09,HOLD,0.0,0.0,0.0,0.0,21,False
