decile,count,mean_long_after_cost,sharpe_long_after_cost
0,128,-0.0019171098078557122,-0.13803860106952442
1,127,0.00024411652481556257,0.0173203244579125
2,127,-1.1009593362930206e-05,-0.0008985929832708956
3,127,0.0022690803062561664,0.18566847941098838
4,127,0.0005695470597726381,0.04012690347401289
5,130,0.00393037369501583,0.2869999525777819
6,124,-0.003787880353696376,-0.42654503750335354
7,127,-0.0039108829013937575,-0.3604795907134657
8,127,0.0037069304004678305,0.2641546134541622
9,128,0.001687668074602778,0.15823679333143031
