feature,mean_gain,sum_gain,mean_rank,std_rank,count_folds,stability
trades_cv_240,180.6177481174469,903.0887405872345,3.0,1.8708286933869707,5,0.941536603331659
ret_kurt_60,158.48413610458374,792.4206805229187,7.4,9.555103348473002,5,0.701403020360228
trades_cv_60,130.66821413040162,653.341070652008,8.6,8.706319543871567,5,0.727927514254022
ret_5,108.14311232566834,540.7155616283417,9.2,5.761944116355173,5,0.8199392463639065
vol_15,126.33634448051453,631.6817224025726,9.2,8.34865258589672,5,0.7391046066907356
close_ema_15,136.12664127349854,680.6332063674927,9.4,10.21273714534943,5,0.6808519642078403
avg_trade_size_cv_240,110.71981210708618,553.5990605354309,10.4,7.569676347110224,5,0.7634476141528129
high,53.034107780456544,265.1705389022827,11.0,10.908712114635714,5,0.6591027464176447
t_end_60,97.16924362182617,485.84621810913086,12.0,6.745368781616021,5,0.789207225574506
ret_kurt_20,87.38636808395385,436.9318404197693,12.8,11.38859078200635,5,0.6441065380623128
vol_60,80.19444155693054,400.9722077846527,14.1,10.49047186736612,5,0.672172754144819
ret_skew_20,108.19531593322753,540.9765796661377,14.9,11.813128290169374,5,0.6308397409322186
close,51.77480564117432,258.8740282058716,17.0,11.979148550710939,5,0.6256516077902949
vol_240,72.72361793518067,363.6180896759033,17.5,9.300537618869138,5,0.7093581994103486
avg_trade_size_z_60,45.35723989009857,226.78619945049286,17.6,7.3006848993775915,5,0.7718535968944574
trades_cv_15,86.25962018966675,431.29810094833374,19.6,8.561541917201598,5,0.7324518150874584
ret_skew_60,78.91882014274597,394.59410071372986,19.7,7.996874389409903,5,0.7500976753309484
avg_trade_size_cv_15,80.00122275352479,400.0061137676239,20.3,7.661592523751182,5,0.7605752336327831
avg_trade_size_cv_60,64.35516848564149,321.7758424282074,20.6,8.203657720797473,5,0.743635696225087
vol_z_60,52.86436395645141,264.3218197822571,20.7,8.570297544426332,5,0.7321782017366856
vol_z_15,41.0967601776123,205.48380088806152,21.2,2.7748873851023212,5,0.9132847692155552
trades_z_240,46.894573831558226,234.47286915779114,24.3,6.978538528947161,5,0.7819206709704081
vol_z_240,44.86135606765747,224.30678033828735,24.6,7.741123949401663,5,0.7580898765812056
ret_1,44.835032272338864,224.17516136169434,26.1,4.642197755374064,5,0.8549313201445651
low,26.67479238510132,133.3739619255066,26.7,6.924593850905626,5,0.7836064421592059
avg_trade_size_z_240,26.46461229324341,132.32306146621704,26.9,7.536577472566709,5,0.7644819539822978
volume,33.81480569839478,169.07402849197388,27.1,3.435112807463534,5,0.8926527247667679
fdiff_0.20,55.72547183036804,278.6273591518402,27.2,6.6951474965081985,5,0.7907766407341253
close_ema_3,19.101897621154784,95.50948810577393,27.3,8.090117428072352,5,0.7471838303727469
ret_15,49.13555393218994,245.6777696609497,27.4,6.318623267769649,5,0.8025430228822047
t_end_90,9.974799919128419,49.87399959564209,27.5,11.821590417536889,5,0.6305752994519838
avg_trade_size,19.619160079956053,98.09580039978027,28.0,6.864765108872991,5,0.7854760903477258
trades_z_15,38.53457365036011,192.67286825180054,28.4,4.628714724413246,5,0.8553526648620906
trades_z_60,31.76008931398392,158.8004465699196,28.8,4.101828860398737,5,0.8718178481125435
range_hl,11.91216812133789,59.56084060668945,29.3,6.704476116744693,5,0.7904851213517349
close_ema_5,29.519695806503297,147.59847903251648,29.4,3.59513560244951,5,0.8876520124234564
tickiness,18.5576238155365,92.7881190776825,30.4,3.7980258029665888,5,0.8813116936572978
open,14.168346118927001,70.84173059463501,30.8,4.22196636651691,5,0.8680635510463507
avg_trade_size_z_15,12.608329916000367,63.04164958000183,31.2,4.777551674236502,5,0.850701510180114
range_co,10.952826118469238,54.76413059234619,31.4,5.091659847240387,5,0.8408856297737428
trades,2.7888239860534667,13.944119930267334,32.0,6.1339220731926485,5,0.8083149352127357
