t_long,t_short,total_return,trades,avg_per_trade,max_drawdown,equity,used_mapper,diag
0.785,0.75,6.896150149467593,4234,0.0016287553494255065,-4.9401797434284225,,True,"{'base': {'long': 354, 'short': 3804, 'trades': 4158}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 430, 'short': 3804, 'trades': 4234}, 'combine_mode': 'union'}"
0.785,0.755,6.822491675014138,4241,0.0016086988151412728,-5.038409831923995,,True,"{'base': {'long': 354, 'short': 3820, 'trades': 4174}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 421, 'short': 3820, 'trades': 4241}, 'combine_mode': 'union'}"
0.78,0.75,6.802105117346151,4240,0.0016042700748457907,-4.9401797434284225,,True,"{'base': {'long': 372, 'short': 3804, 'trades': 4176}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 436, 'short': 3804, 'trades': 4240}, 'combine_mode': 'union'}"
0.775,0.75,6.735990059046152,4244,0.0015871795615094613,-4.940179743428424,,True,"{'base': {'long': 391, 'short': 3804, 'trades': 4195}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 440, 'short': 3804, 'trades': 4244}, 'combine_mode': 'union'}"
0.78,0.755,6.7284466428926955,4247,0.0015842822328449955,-5.038409831923997,,True,"{'base': {'long': 372, 'short': 3820, 'trades': 4192}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 427, 'short': 3820, 'trades': 4247}, 'combine_mode': 'union'}"
0.765,0.75,6.7205729293125165,4257,0.0015787110475246693,-4.940179743428419,,True,"{'base': {'long': 428, 'short': 3804, 'trades': 4232}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 453, 'short': 3804, 'trades': 4257}, 'combine_mode': 'union'}"
0.785,0.76,6.668038751161551,4251,0.001568581216457669,-5.038409831923992,,True,"{'base': {'long': 354, 'short': 3834, 'trades': 4188}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 417, 'short': 3834, 'trades': 4251}, 'combine_mode': 'union'}"
0.79,0.75,6.667053958543864,4228,0.0015768812579337428,-4.940179743428417,,True,"{'base': {'long': 340, 'short': 3804, 'trades': 4144}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 424, 'short': 3804, 'trades': 4228}, 'combine_mode': 'union'}"
0.785,0.745,6.6656924960135395,4228,0.0015765592469284629,-4.883180581651383,,True,"{'base': {'long': 354, 'short': 3789, 'trades': 4143}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 439, 'short': 3789, 'trades': 4228}, 'combine_mode': 'union'}"
0.775,0.755,6.662331584592696,4251,0.001567238669628957,-5.038409831923992,,True,"{'base': {'long': 391, 'short': 3820, 'trades': 4211}, 'mapper': {'long': 872, 'short': 1541, 'trades': 2413}, 'combo': {'long': 431, 'short': 3820, 'trades': 4251}, 'combine_mode': 'union'}"
